speaker_label,gender,word,vowel_phoneme,class_number,formant_1,formant_2,formant_3
ajh,M,heed,IY,1,327,2099,2916
ajh,M,had,AE,2,783,1389,2509
ajh,M,heard,ER,3,507,1616,2761
apd,M,heed,IY,1,343,2065,2863
apd,M,had,AE,2,749,1441,2585
apd,M,heard,ER,3,470,1643,2527
ars,M,heed,IY,1,334,2053,2788
ars,M,had,AE,2,718,1525,2481
ars,M,heard,ER,3,556,1740,2562
axm,M,heed,IY,1,377,2281,2901
axm,M,had,AE,2,904,1418,2648
axm,M,heard,ER,3,584,1701,2454
ikp,M,heed,IY,1,299,2276,2970
ikp,M,had,AE,2,828,1541,2633
ikp,M,heard,ER,3,549,1569,2565
alw,F,heed,IY,1,428,2635,3194
alw,F,had,AE,2,978,1620,2753
alw,F,heard,ER,3,722,1601,3052
cxb,F,heed,IY,1,419,2615,3231
cxb,F,had,AE,2,857,1219,2817
cxb,F,heard,ER,3,707,1622,3380
jah,F,heed,IY,1,472,2775,3404
jah,F,had,AE,2,1077,1753,3018
jah,F,heard,ER,3,724,1975,3164
jep,F,heed,IY,1,609,2787,3533
jep,F,had,AE,2,1205,1801,2671
jep,F,heard,ER,3,770,1956,2914
knb,F,heed,IY,1,645,2828,3392
knb,F,had,AE,2,984,1813,3006
knb,F,heard,ER,3,724,1944,3087
acr,M,heed,IY,1,344,2123,2851
acr,M,had,AE,2,864,1637,2475
acr,M,heard,ER,3,718,1669,2107
bxp,M,heed,IY,1,286,2444,2957
bxp,M,had,AE,2,915,1680,2765
bxp,M,heard,ER,3,628,1519,2241
cgm,M,heed,IY,1,292,2550,2756
cgm,M,had,AE,2,906,1429,2463
cgm,M,heard,ER,3,722,1279,2050
cxg,M,heed,IY,1,380,1912,2644
cxg,M,had,AE,2,967,1471,2501
cxg,M,heard,ER,3,666,1506,2165
ejd,M,heed,IY,1,348,2134,2926
ejd,M,had,AE,2,842,1721,2526
ejd,M,heard,ER,3,763,1458,2094
cxc,F,heed,IY,1,420,2684,3224
cxc,F,had,AE,2,1055,1644,2459
cxc,F,heard,ER,3,609,1576,1731
dmc,F,heed,IY,1,510,2577,3126
dmc,F,had,AE,2,818,1740,2783
dmc,F,heard,ER,3,646,1337,2032
ejr,F,heed,IY,1,386,2784,3085
ejr,F,had,AE,2,1464,1797,2836
ejr,F,heard,ER,3,603,1710,2198
exc,F,heed,IY,1,438,2639,3211
exc,F,had,AE,2,987,1555,2555
exc,F,heard,ER,3,797,1121,2772
jmc,F,heed,IY,1,412,2785,2869
jmc,F,had,AE,2,1218,2028,2849
jmc,F,heard,ER,3,759,1577,2660
asp,M,heed,IY,1,397,2251,2325
asp,M,had,AE,2,992,1720,2673
asp,M,heard,ER,3,650,1557,2747
baj,M,heed,IY,1,286,2218,2920
baj,M,had,AE,2,797,1746,2505
baj,M,heard,ER,3,555,1530,2703
htl,M,heed,IY,1,289,2219,2987
htl,M,had,AE,2,826,1660,2504
htl,M,heard,ER,3,627,1438,2514
ifp,M,heed,IY,1,382,2046,2730
ifp,M,had,AE,2,1018,1447,2276
ifp,M,heard,ER,3,589,1540,2676
kxk,M,heed,IY,1,343,2256,3195
kxk,M,had,AE,2,854,1505,2501
kxk,M,heard,ER,3,639,1379,2597
ald,F,heed,IY,1,404,2406,3081
ald,F,had,AE,2,1157,1794,2636
ald,F,heard,ER,3,774,1789,2834
cxb,F,heed,IY,1,455,2658,3234
cxb,F,had,AE,2,1164,1946,2743
cxb,F,heard,ER,3,894,1817,2834
dab,F,heed,IY,1,295,2462,2984
dab,F,had,AE,2,950,1782,2592
dab,F,heard,ER,3,715,1806,2624
hjl,F,heed,IY,1,428,3337,3689
hjl,F,had,AE,2,1179,1924,3115
hjl,F,heard,ER,3,892,2016,3159
jkb,F,heed,IY,1,283,2490,2970
jkb,F,had,AE,2,894,1636,2721
jkb,F,heard,ER,3,575,1685,2752
ajt,M,heed,IY,1,344,2121,2757
ajt,M,had,AE,2,1255,2509,3701
ajt,M,heard,ER,3,690,1585,2602
axc,M,heed,IY,1,242,2213,2782
axc,M,had,AE,2,861,1696,2581
axc,M,heard,ER,3,775,1033,2626
ccw,M,heed,IY,1,305,2519,3084
ccw,M,had,AE,2,833,1449,2841
ccw,M,heard,ER,3,656,1649,2646
dps,M,heed,IY,1,267,2033,2621
dps,M,had,AE,2,1075,1776,2932
dps,M,heard,ER,3,728,1723,2332
dwc,M,heed,IY,1,317,2225,2705
dwc,M,had,AE,2,796,1560,2426
dwc,M,heard,ER,3,619,1757,2576
cet,F,heed,IY,1,408,2727,3393
cet,F,had,AE,2,950,1778,2922
cet,F,heard,ER,3,510,1146,2848
edc,F,heed,IY,1,435,2666,3256
edc,F,had,AE,2,1077,1780,2779
edc,F,heard,ER,3,842,1946,2839
hxc,F,heed,IY,1,390,3043,3561
hxc,F,had,AE,2,1119,1660,1995
hxc,F,heard,ER,3,802,1900,3056
jat,F,heed,IY,1,421,2626,2738
jat,F,had,AE,2,948,1760,2677
jat,F,heard,ER,3,834,2122,3162
jfj,F,heed,IY,1,416,2792,3518
jfj,F,had,AE,2,1124,1998,2909
jfj,F,heard,ER,3,861,2330,3235
gty,M,heed,IY,1,282,2135,3058
gty,M,had,AE,2,806,1305,2972
gty,M,heard,ER,3,559,1414,2606
iwd,M,heed,IY,1,247,2347,3098
iwd,M,had,AE,2,1003,1501,2855
iwd,M,heard,ER,3,675,1615,2469
jmc,M,heed,IY,1,309,2515,3167
jmc,M,had,AE,2,758,1225,2755
jmc,M,heard,ER,3,646,1594,2962
ljg,M,heed,IY,1,324,2508,2982
ljg,M,had,AE,2,1046,2243,3565
ljg,M,heard,ER,3,645,1448,2654
rac,M,heed,IY,1,234,2385,3045
rac,M,had,AE,2,945,1504,2550
rac,M,heard,ER,3,679,1580,2837
aud,F,heed,IY,1,337,2853,2436
aud,F,had,AE,2,1017,1627,3310
aud,F,heard,ER,3,664,2041,3379
fmb,F,heed,IY,1,305,2714,3215
fmb,F,had,AE,2,869,1793,3103
fmb,F,heard,ER,3,629,2054,2488
jec,F,heed,IY,1,320,2949,2967
jec,F,had,AE,2,986,1717,2698
jec,F,heard,ER,3,605,2314,3099
joh,F,heed,IY,1,414,2595,3193
joh,F,had,AE,2,893,1554,2720
joh,F,heard,ER,3,667,1789,2554
kam,F,heed,IY,1,363,2883,3220
kam,F,had,AE,2,940,1714,2852
kam,F,heard,ER,3,635,1814,2226
